ADR_USD,hotel_id,city_id,star_rating,accommadation_type_name,chain_hotel,booking_date,checkin_date,checkout_date,Between_Booking_Checkin,Stay_Duration,Booking_Date,Duration_Group
71.06,297388,9395,2.5,Hotel,1,2016-08-02,2016-10-01,2016-10-02,60,1,Tuesday,3
76.56,298322,9395,3.0,Hotel,1,2016-08-02,2016-10-01,2016-10-02,60,1,Tuesday,3
153.88,2313076,9395,5.0,Hotel,0,2016-08-02,2016-10-01,2016-10-02,60,1,Tuesday,3
126.6,2240838,9395,3.5,Hotel,1,2016-08-04,2016-10-02,2016-10-03,59,1,Thursday,3
115.08,2240838,9395,3.5,Hotel,1,2016-08-04,2016-10-02,2016-10-03,59,1,Thursday,3
81.6,331350,9395,3.0,Hotel,1,2016-08-04,2016-10-03,2016-10-05,60,2,Thursday,3
77.16,782884,9395,3.0,Hotel,0,2016-08-04,2016-10-03,2016-10-04,60,1,Thursday,3
168.36,2313076,9395,5.0,Hotel,0,2016-08-04,2016-10-02,2016-10-05,59,3,Thursday,3
48.18,2325228,9395,2.0,Serviced Apartment,1,2016-08-04,2016-10-01,2016-10-02,58,1,Thursday,3
81.74,331350,9395,3.0,Hotel,1,2016-08-05,2016-10-01,2016-10-04,57,3,Friday,3
172.05,1853178,9395,4.0,Hotel,1,2016-08-06,2016-10-01,2016-10-04,56,3,Saturday,3
24.92,1737924,9395,2.0,Hostel,1,2016-08-06,2016-10-01,2016-10-04,56,3,Saturday,3
81.4,331350,9395,3.0,Hotel,1,2016-08-06,2016-10-02,2016-10-05,57,3,Saturday,3
43.32,572060,9395,2.0,Serviced Apartment,1,2016-08-06,2016-10-02,2016-10-03,57,1,Saturday,3
64.86,588768,9395,3.0,Hotel,1,2016-08-06,2016-10-05,2016-10-06,60,1,Saturday,3
234.12,2313076,9395,5.0,Hotel,0,2016-08-07,2016-10-06,2016-10-07,60,1,Sunday,3
116.98,257678,9395,4.0,Hotel,1,2016-08-07,2016-10-04,2016-10-05,58,1,Sunday,3
181.42,2313076,9395,5.0,Hotel,0,2016-08-07,2016-10-02,2016-10-04,56,2,Sunday,3
159.62,96982,9395,4.0,Hotel,0,2016-08-08,2016-10-07,2016-10-10,60,3,Monday,3
148.21,150994,9395,3.0,Hotel,1,2016-08-08,2016-10-07,2016-10-10,60,3,Monday,3
81.4,331350,9395,3.0,Hotel,1,2016-08-08,2016-10-03,2016-10-05,56,2,Monday,3
42.1,197996,9395,3.5,Hotel,1,2016-08-08,2016-10-03,2016-10-04,56,1,Monday,3
261.66,597472,9395,3.0,Guest House / Bed & Breakfast,1,2016-08-08,2016-10-05,2016-10-06,58,1,Monday,3
365.6,525626,9395,5.0,Hotel,0,2016-08-09,2016-10-07,2016-10-08,59,1,Tuesday,3
365.6,525626,9395,5.0,Hotel,0,2016-08-09,2016-10-08,2016-10-09,60,1,Tuesday,3
144.74,373272,9395,4.5,Hotel,0,2016-08-09,2016-10-07,2016-10-10,59,3,Tuesday,3
58.62,297388,9395,2.5,Hotel,1,2016-08-09,2016-10-01,2016-10-04,53,3,Tuesday,3
79.54,581660,9395,3.0,Hotel,1,2016-08-09,2016-10-03,2016-10-06,55,3,Tuesday,3
310.62,587866,9395,4.0,Serviced Apartment,1,2016-08-09,2016-10-06,2016-10-07,58,1,Tuesday,3
118.6,587866,9395,4.0,Serviced Apartment,1,2016-08-09,2016-10-07,2016-10-09,59,2,Tuesday,3
56.56,2288310,9395,1.5,Hostel,1,2016-08-09,2016-10-08,2016-10-09,60,1,Tuesday,3
112.18,824942,9395,3.5,Serviced Apartment,1,2016-08-09,2016-10-07,2016-10-08,59,1,Tuesday,3
112.3,373272,9395,4.5,Hotel,0,2016-08-09,2016-10-05,2016-10-06,57,1,Tuesday,3
84.8,782884,9395,3.0,Hotel,0,2016-08-09,2016-10-07,2016-10-08,59,1,Tuesday,3
84.8,782884,9395,3.0,Hotel,0,2016-08-09,2016-10-07,2016-10-08,59,1,Tuesday,3
130.1,373272,9395,4.5,Hotel,0,2016-08-10,2016-10-08,2016-10-10,59,2,Wednesday,3
81.9,331350,9395,3.0,Hotel,1,2016-08-10,2016-10-01,2016-10-03,52,2,Wednesday,3
32.86,104332,9395,2.0,Hotel,0,2016-08-10,2016-10-08,2016-10-10,59,2,Wednesday,3
78.92,297388,9395,2.5,Hotel,1,2016-08-10,2016-10-04,2016-10-06,55,2,Wednesday,3
145.15,373272,9395,4.5,Hotel,0,2016-08-10,2016-10-02,2016-10-05,53,3,Wednesday,3
81.8,331350,9395,3.0,Hotel,1,2016-08-10,2016-10-02,2016-10-05,53,3,Wednesday,3
75.42,297388,9395,2.5,Hotel,1,2016-08-10,2016-10-09,2016-10-12,60,3,Wednesday,3
93.82,21418,9395,4.0,Hotel,0,2016-08-10,2016-10-03,2016-10-05,54,2,Wednesday,3
130.21,257678,9395,4.0,Hotel,1,2016-08-10,2016-10-08,2016-10-11,59,3,Wednesday,3
78.92,297388,9395,2.5,Hotel,1,2016-08-10,2016-10-05,2016-10-06,56,1,Wednesday,3
122.22,309680,9395,3.0,Hotel,0,2016-08-10,2016-10-09,2016-10-10,60,1,Wednesday,3
86.92,577502,9395,3.5,Hotel,1,2016-08-10,2016-10-07,2016-10-08,58,1,Wednesday,3
50.84,297388,9395,2.5,Hotel,1,2016-08-11,2016-10-05,2016-10-06,55,1,Thursday,3
47.84,1930960,9395,3.0,Hotel,1,2016-08-11,2016-10-06,2016-10-07,56,1,Thursday,3
165.44,2313076,9395,5.0,Hotel,0,2016-08-11,2016-10-01,2016-10-02,51,1,Thursday,3
91.24,298322,9395,3.0,Hotel,1,2016-08-11,2016-10-06,2016-10-07,56,1,Thursday,3
266.06,525626,9395,5.0,Hotel,0,2016-08-11,2016-10-05,2016-10-06,55,1,Thursday,3
80.94,297388,9395,2.5,Hotel,1,2016-08-11,2016-10-06,2016-10-07,56,1,Thursday,3
43.36,197996,9395,3.5,Hotel,1,2016-08-12,2016-10-08,2016-10-09,57,1,Friday,3
70.88,474060,9395,3.0,Hotel,0,2016-08-12,2016-10-06,2016-10-09,55,3,Friday,3
164.36,2313076,9395,5.0,Hotel,0,2016-08-12,2016-10-09,2016-10-11,58,2,Friday,3
53.06,2356648,9395,3.0,Hostel,1,2016-08-12,2016-10-03,2016-10-06,52,3,Friday,3
109.36,21272,9395,4.0,Hotel,1,2016-08-12,2016-10-01,2016-10-03,50,2,Friday,3
