0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242
Free WiFi0 ,Free parking0 ,Restaurant0 ,Non-smoking rooms0 ,Room service0 ,24-hour front desk0 ,Outdoors0 ,Terrace0 ,Garden0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Bottle of water0 ,Breakfast in the room0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Secured parking0 ,Reception services0 ,Lockers0 ,Concierge service0 ,Luggage storage0 ,Tour desk0 ,24-hour front desk0 ,Cleaning services0 ,Daily housekeeping0 ,Trouser press0 ,Additional charge0 ,Shoeshine0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business facilities0 ,Fax/photocopying0 ,Additional charge0 ,Business centre0 ,Additional charge0 ,Meeting/banquet facilities0 ,Additional charge0 ,General0 ,Pet basket0 ,Shared lounge/TV area0 ,Air conditioning0 ,Heating0 ,Car hire0 ,Chapel/shrine0 ,Lift0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachfront0 ,Free WiFi0 ,Spa and wellness centre0 ,Family rooms0 ,Bar0 ,Outdoors0 ,Beachfront0 ,Private beach area0 ,Terrace0 ,Garden0 ,Pets0 ,Pets are not allowed.0 ,Activities0 ,Beach0 ,Library0 ,Food &amp; Drink0 ,Snack bar0 ,Bar0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in public areas and is free of charge.0 ,Parking0 ,Free!0 ,Free public parking is possible at a location nearby (reservation is needed).0 ,Wellness facilities0 ,Yoga classes0 ,Spa/wellness packages0 ,Massage0 ,Additional charge0 ,Spa and wellness centre0 ,Additional charge0 ,Services0 ,Shared lounge/TV area0 ,Airport shuttle (additional charge)0 ,Private check-in/check-out0 ,Luggage storage0 ,Tour desk0 ,Car hire0 ,24-hour front desk0 ,Room service0 ,Safety &amp; security0 ,Safety deposit box0 ,General0 ,Non-smoking throughout0 ,Family rooms0 ,Non-smoking rooms0 ,Newspapers0 ,Languages spoken0 ,Danish0 ,English0 ,Spanish0 ,French0 ,Hindi0 ,Italian0 ,Norwegian0 ,Swedish0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Airport shuttle0 ,Free parking0 ,Room service0 ,Restaurant0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in the hotel rooms and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Services0 ,Airport shuttle (additional charge)0 ,Laundry0 ,Additional charge0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in the hotel rooms and is free of charge.0 ,Parking0 ,No parking available.0 ,Services0 ,Daily housekeeping0 ,Shared lounge/TV area0 ,Lockers0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV outside property0 ,24-hour security0 ,General0 ,Air conditioning0 ,Lift0 ,Languages spoken0 ,English0 ,Hindi0 ,Tamil0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking0 ,Family rooms0 ,Room service0 ,Parking0 ,Public parking is possible at a location nearby (reservation is not needed) and costs INR 200 per day.0 ,Street parking0 ,Internet0 ,No internet access available.0 ,Bathroom0 ,Towels0 ,Shower0 ,Walk-in shower0 ,Private bathroom0 ,Toilet0 ,Media &amp; Technology0 ,Flat-screen TV0 ,Cable Channels0 ,Satellite Channels0 ,TV0 ,Video0 ,Room Amenities0 ,Non-feather pillow0 ,Pets0 ,Pets are not allowed.0 ,Accessibility0 ,Raised toilet0 ,Upper floors accessible by stairs only0 ,Outdoors0 ,Outdoor dining area0 ,Terrace0 ,General0 ,Fan0 ,Grocery deliveries0 ,Mini-market on site0 ,Air conditioning0 ,Non-smoking throughout0 ,Allergy-free room0 ,Shops (on site)0 ,Wake-up service0 ,Tile/Marble floor0 ,Laptop safe0 ,Gift shop0 ,Family rooms0 ,Barber/beauty shop0 ,Room service0 ,Activities0 ,Tour or class about local culture0 ,Additional charge0 ,Beach0 ,Nightclub/DJ0 ,Additional charge0 ,Services &amp; Extras0 ,Tickets to attractions or shows0 ,Additional charge0 ,View0 ,Quiet street view0 ,Reception services0 ,Private check-in/check-out0 ,ATM/cash machine on site0 ,Luggage storage0 ,24-hour front desk0 ,Cleaning services0 ,Daily housekeeping0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Safety &amp; security0 ,CCTV outside property0 ,CCTV in common areas0 ,24-hour security0 ,Safety deposit box0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Non-smoking rooms0 ,Room service0 ,24-hour front desk0 ,Laundry0 ,Pets0 ,Pets are not allowed.0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Services0 ,Daily housekeeping0 ,Laundry0 ,Additional charge0 ,24-hour front desk0 ,Meeting/banquet facilities0 ,Room service0 ,General0 ,Air conditioning0 ,Lift0 ,Non-smoking rooms0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 swimming pool0 ,Free parking0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Internet0 ,No internet access available.0 ,Kitchen0 ,Freedom to eat when you want0 ,Bathroom0 ,Private bathroom0 ,Media &amp; Technology0 ,Fun for everyone under one roof0 ,Flat-screen TV0 ,Pets0 ,Pets are not allowed.0 ,Outdoors0 ,Sit back and relax0 ,Private pool0 ,Balcony0 ,Wellness facilities0 ,Swimming Pool0 ,Swimming pool0 ,Activities0 ,Beach0 ,Outdoor &amp; View0 ,Enjoy the view0 ,View0 ,Miscellaneous0 ,Air conditioning0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Swimming pool0 ,Spa and wellness centre0 ,Free parking0 ,very good fitness centre0 ,Restaurant0 ,Bar0 ,Outdoors0 ,Outdoor furniture0 ,BBQ facilities0 ,Additional charge0 ,Garden0 ,Pets0 ,Pets are allowed. Charges may be applicable.0 ,Activities0 ,Library0 ,Games room0 ,Food &amp; Drink0 ,Bottle of water0 ,Special diet menus (on request)0 ,Breakfast in the room0 ,Bar0 ,Restaurant0 ,Very good0 ,coffee!0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Accessibility0 ,Emergency cord in bathroom0 ,Wheelchair accessible0 ,Parking0 ,Free!0 ,Free public parking is possible on site (reservation is not needed).0 ,Accessible parking0 ,Secured parking0 ,Wellness facilities0 ,Swimming Pool0 ,Swimming pool0 ,Full body massage0 ,Head massage0 ,Foot massage0 ,Neck massage0 ,Back massage0 ,Sun umbrellas0 ,Sun loungers or beach chairs0 ,Outdoor pool (all year)0 ,Massage0 ,Additional charge0 ,Spa and wellness centre0 ,Additional charge0 ,Fitness centre0 ,Sauna0 ,Additional charge0 ,Reception services0 ,Concierge service0 ,Luggage storage0 ,Ticket service0 ,Tour desk0 ,Currency exchange0 ,24-hour front desk0 ,Entertainment and family services0 ,Babysitting/child services0 ,Additional charge0 ,Cleaning services0 ,Daily housekeeping0 ,Trouser press0 ,Additional charge0 ,Shoeshine0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business facilities0 ,Fax/photocopying0 ,Additional charge0 ,Business centre0 ,Additional charge0 ,Meeting/banquet facilities0 ,Additional charge0 ,Safety &amp; security0 ,CCTV outside property0 ,CCTV in common areas0 ,Smoke alarms0 ,Security alarm0 ,24-hour security0 ,Safety deposit box0 ,General0 ,Shuttle service0 ,Shuttle service (additional charge)0 ,Designated smoking area0 ,Air conditioning0 ,Shops (on site)0 ,Car hire0 ,Packed lunches0 ,Gift shop0 ,Lift0 ,Bridal suite0 ,VIP room facilities0 ,Barber/beauty shop0 ,Facilities for disabled guests0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free parking0 ,Family rooms0 ,Free WiFi0 ,24-hour front desk0 ,Room service0 ,Pets0 ,Pets are not allowed.0 ,Food &amp; Drink0 ,Bottle of water0 ,Breakfast in the room0 ,Internet0 ,Free!0 ,WiFi is available in all areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is needed).0 ,Secured parking0 ,Services0 ,Daily housekeeping0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business centre0 ,Additional charge0 ,24-hour front desk0 ,Meeting/banquet facilities0 ,Additional charge0 ,Room service0 ,Safety &amp; security0 ,Fire extinguishers0 ,CCTV in common areas0 ,24-hour security0 ,General0 ,Non-smoking throughout0 ,Family rooms0 ,Non-smoking rooms0 ,Newspapers0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free WiFi0 ,Free parking0 ,Airport shuttle0 ,Family rooms0 ,Room service0 ,Restaurant0 ,Outdoors0 ,Outdoor fireplace0 ,Picnic area0 ,BBQ facilities0 ,Additional charge0 ,Terrace0 ,Garden0 ,Kitchen0 ,Shared kitchen0 ,Services &amp; Extras0 ,Tickets to attractions or shows0 ,Pets0 ,Pets are not allowed.0 ,Activities0 ,Tour or class about local culture0 ,Additional charge0 ,Bike tours0 ,Additional charge0 ,Walking tours0 ,Additional charge0 ,Badminton equipment0 ,Tennis equipment0 ,Cycling0 ,Bicycle rental (additional charge)0 ,Food &amp; Drink0 ,On-site coffee house0 ,Chocolate or cookies0 ,Additional charge0 ,Fruits0 ,Additional charge0 ,Bottle of water0 ,Additional charge0 ,Wine/champagne0 ,Additional charge0 ,Kid meals0 ,Additional charge0 ,Special diet menus (on request)0 ,Snack bar0 ,Breakfast in the room0 ,Restaurant0 ,Internet0 ,Free!0 ,WiFi is available in public areas and is free of charge.0 ,Parking0 ,Free!0 ,Free private parking is possible on site (reservation is not needed).0 ,Accessible parking0 ,Street parking0 ,Secured parking0 ,Wellness facilities0 ,Public Bath0 ,Transport0 ,Airport drop off0 ,Additional charge0 ,Airport pick up0 ,Additional charge0 ,Reception services0 ,Lockers0 ,ATM/cash machine on site0 ,Express check-in/check-out0 ,24-hour front desk0 ,Entertainment and family services0 ,Children television networks0 ,Baby safety gates0 ,Kids' outdoor play equipment0 ,Indoor play area0 ,"Books, DVDs, music for children0 ",Board games/puzzles0 ,Babysitting/child services0 ,Cleaning services0 ,Daily housekeeping0 ,Trouser press0 ,Additional charge0 ,Shoeshine0 ,Additional charge0 ,Ironing service0 ,Additional charge0 ,Dry cleaning0 ,Additional charge0 ,Laundry0 ,Additional charge0 ,Business facilities0 ,Fax/photocopying0 ,Additional charge0 ,Meeting/banquet facilities0 ,Additional charge0 ,Safety &amp; security0 ,CCTV outside property0 ,CCTV in common areas0 ,Security alarm0 ,24-hour security0 ,Safety deposit box0 ,General0 ,Mini-market on site0 ,Airport shuttle (additional charge)0 ,Vending machine (snacks)0 ,Vending machine (drinks)0 ,Designated smoking area0 ,Air conditioning0 ,Additional charge0 ,Shops (on site)0 ,Heating0 ,Car hire0 ,VIP room facilities0 ,Family rooms0 ,Non-smoking rooms0 ,Newspapers0 ,Room service0 ,Languages spoken0 ,English0 ,Hindi0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
